"id_gosc";"imie";"nazwisko";"adres";"miasto";"email";"numer_telefonu"
17;"Micha³";"Górski";"ul. Powstañców 63";"Radom";"michal.gorski@example.com";"789-012-345"
18;"Kinga";"Witkowska";"ul. D³uga 23";"Toruñ";"kinga.witkowska@example.com";"890-123-456"
19;"Artur";"Krawczyk";"ul. Zielona 25";"Sopot";"artur.krawczyk@example.com";"901-234-567"
20;"Natalia";"Kaczmarczyk";"ul. Sk³odowskiej-Curie 126";"Wa³brzych";"natalia.kaczmarczyk@example.com";"012-345-678"
21;"Szymon";"Piotrowski";"ul. Kwiatowa 252";"Nowy S¹cz";"szymon.piotrowski@example.com";"123-456-789"
22;"Zuzanna";"Grabowska";"ul. Sportowa 131";"Tarnów";"zuzanna.grabowska@example.com";"234-567-890"
23;"Filip";"£ukasik";"ul. Podgórna 20";"Kalisz";"filip.lukasik@example.com";"345-678-901"
24;"Oliwia";"Zaj¹c";"ul. Sienkiewicza 23";"Legionowo";"oliwia.zajac@example.com";"456-789-012"
25;"Mateusz";"Król";"ul. Wiejska 7";"Grudzi¹dz";"mateusz.krol@example.com";"567-890-123"
26;"Lena";"Pawlik";"ul. Mickiewicza 93";"S³upsk";"lena.pawlik@example.com";"678-901-234"
27;"Igor";"Michalak";"ul. Leœna 182";"Jaworzno";"igor.michalak@example.com";"789-012-345"
28;"Marianna";"Sikora";"ul. Parkowa 4";"D¹browa Górnicza";"marianna.sikora@example.com";"890-123-456"
29;"Hubert";"Kubiak";"ul. M³ynarska 221";"Kêdzierzyn-KoŸle";"hubert.kubiak@example.com";"901-234-567"
30;"Gabriela";"Kaczor";"ul. Ró¿ana 28";"Racibórz";"gabriela.kaczor@example.com";"012-345-678"
31;"Patryk";"G³owacki";"ul. Szara 62";"Tarnów";"patryk.glowacki@example.com";"823-456-789"
32;"Karolina";"Zawada";"ul. Jaœminowa 312";"E³k";"karolina.zawada@example.com";"234-567-890"
33;"Bartosz";"Sobczak";"ul. Krótka 13";"Ostrów Wielkopolski";"bartosz.sobczak@example.com";"345-678-901"
34;"Kamila";"Tomczak";"ul. Szkolna 414";"Suwa³ki";"kamila.tomczak@example.com";"456-789-012"
35;"Mi³osz";"Wieczorek";"ul. Prosta 129";"P³ock";"milosz.wieczorek@example.com";"567-890-123"
36;"Wiktoria";"Szymañska";"ul. Ogrodowa 17";"Tarnobrzeg";"wiktoria.szymanska@example.com";"678-901-234"
37;"Oskar";"Wojciechowski";"ul. Polna 16";"Zamoœæ";"oskar.wojciechowski@example.com";"789-012-345"
38;"Nikola";"Baran";"ul. Kwiatowa 3";"Bia³ystok";"nikola.baran@example.com";"890-123-456"
39;"Amelia";"Brzeziñska";"ul. Leœna 24";"Przemyœl";"amelia.brzezinska@example.com";"901-234-567"
40;"Alan";"Urbañski";"ul. Zielona 112";"Sopot";"alan.urbanski@example.com";"012-345-678"
41;"Rozalia";"Nowicka";"ul. D³uga 36";"Lubin";"rozalia.nowicka@example.com";"123-456-789"
42;"Oliwier";"Krupa";"ul. Szewska 153";"Gorzów Wielkopolski";"oliwier.krupa@example.com";"234-567-890"
43;"Hanna";"Marek";"ul. Lipowa 272";"Radomsko";"hanna.marek@example.com";"345-678-901"
44;"Robert";"Serafin";"ul. Mickiewicza 2";"Zabrze";"robert.serafin@example.com";"456-789-012"
45;"Zuzanna";"Borowski";"ul. Narutowicza 10";"Wa³cz";"zuzanna.borowski@example.com";"567-890-123"
46;"Ignacy";"Miko³ajczak";"ul. Kwiatowa 18";"Œwidnica";"ignacy.mikolajczak@example.com";"678-901-234"
47;"Marcelina";"Lis";"ul. Sk³odowskiej-Curie 73";"Pabianice";"marcelina.lis@example.com";"789-012-345"
48;"Igor";"Górecki";"ul. Rycerska 13";"Be³chatów";"igor.gorecki@example.com";"890-123-456"
49;"Anita";"Cieœlak";"ul. Jagodowa 14";"Piekary Œl¹skie";"anita.cieslak@example.com";"901-234-567"
50;"Tymoteusz";"Tomaszewski";"ul. Mi³a 22";"Pi³a";"tymoteusz.tomaszewski@example.com";"012-345-678"
51;"Jan";"Nowak";"ul. Lipowa 12";"Warszawa";"jan.nowak@example.com";"123-456-789"
52;"Anna";"Kowalczyk";"ul. Kwiatowa 28";"Kraków";"anna.kowalczyk@example.com";"234-567-890"
53;"Andrzej";"Wiœniewski";"ul. Zaleœna 15";"Gdañsk";"andrzej.wisniewski@example.com";"345-678-901"
54;"Ewa";"Wojciechowska";"ul. Przedszkolna 3";"Racibórz";"ewa.wojciechowska@example.com";"456-789-012"
55;"Piotr";"Kowalski";"ul. Ogrodowa 121";"Tarnobrzeg";"piotr.kowalski@example.com";"567-890-123"
56;"Ma³gorzata";"Mazur";"ul. Polna 103";"Katowice";"malgorzata.mazur@example.com";"678-901-234"
57;"Krzysztof";"Kaczmarek";"ul. Miodowa 7";"£ódŸ";"krzysztof.kaczmarek@example.com";"789-012-345"
58;"Agnieszka";"Zaj¹c";"ul. Brzozowa 114";"Szczecin";"agnieszka.zajac@example.com";"890-123-456"
59;"Andrzej";"Król";"ul. Rycerska 1,";"Lublin";"andrzej.krol@example.com";"901-234-567"
60;"Marta";"Adamczyk";"ul. Dêbowa 12";"Bydgoszcz";"marta.adamczyk@example.com";"012-345-678"
61;"Marek";"Wieczorek";"ul. Szewska 14";"Rzeszów";"marek.wieczorek@example.com";"123-456-789"
62;"Joanna";"Jab³oñska";"ul. Wiosenna 9";"Bielsko-Bia³a";"joanna.jablonska@example.com";"234-567-890"
63;"Tomasz";"Majewska";"ul. Ogrodnicza 45";"Kielce";"tomasz.majewska@example.com";"345-678-901"
64;"Monika";"Zielinska";"ul. Akacjowa 173";"Olsztyn";"monika.zielinska@example.com";"456-789-012"
65;"Pawe³";"Malinowski";"ul. S³oneczna 123";"Pabianice";"pawel.malinowski@example.com";"567-890-123"
66;"Julia";"W³odarczyk";"ul. Jasna 11";"Opole";"julia.wlodarczyk@example.com";"678-901-234"
67;"Micha³";"Pawlak";"ul. Powstañców 26";"Radom";"michal.pawlak@example.com";"789-012-345"
68;"Kinga";"Górka";"ul. D³uga 2";"Toruñ";"kinga.gorka@example.com";"890-123-456"
69;"Artur";"Sawicki";"ul. Zielona 15";"Sopot";"artur.sawicki@example.com";"901-234-567"
70;"Natalia";"Sadowska";"ul. Sk³odowskiej-Curie 162";"Wa³brzych";"natalia.sadowska@example.com";"012-345-678"
71;"Szymon";"Tomaszewska";"ul. Kwiatowa 22";"Nowy S¹cz";"szymon.tomaszewska@example.com";"123-456-789"
72;"Zuzanna";"Witkowska";"ul. Sportowa 13";"Tarnów";"zuzanna.witkowska@example.com";"234-567-890"
73;"Filip";"Rutkowski";"ul. Podgórna 202";"Kalisz";"filip.rutkowski@example.com";"345-678-901"
74;"Oliwia";"Baranowska";"ul. Sienkiewicza 3";"Legionowo";"oliwia.baranowska@example.com";"456-789-012"
75;"Mateusz";"Nowicka";"ul. Wiejska 73";"Grudzi¹dz";"mateusz.nowicka@example.com";"567-890-123"
76;"Lena";"Marciniak";"ul. Mickiewicza 39";"S³upsk";"lena.marciniak@example.com";"678-901-234"
77;"Igor";"Wróbel";"ul. Leœna 128";"Jaworzno";"igor.wrobel@example.com";"789-012-345"
78;"Zofia";"Szymczak";"ul. Parkowa 45";"Poznañ";"zofia.szymczak@example.com";"890-123-456"
79;"Hubert";"Wieczorka";"ul. M³ynarska 212";"Kêdzierzyn-KoŸle";"hubert.wieczorka@example.com";"901-234-567"
80;"Gabriela";"Jasiñska";"ul. Ró¿ana 8,";"Racibórz";"gabriela.jasinska@example.com";"012-345-678"
81;"Patryk";"Tomczyk";"ul. Szara 6";"Tarnów";"patryk.tomczyk@example.com";"123-456-789"
82;"Karolina";"Majchrzak";"ul. Jaœminowa 132";"E³k";"karolina.majchrzak@example.com";"234-567-890"
83;"Bartosz";"Kurek";"ul. Krótka 12";"Ostrów Wielkopolski";"bartosz.kurek@example.com";"345-678-901"
84;"Kamila";"Kania";"ul. Szkolna 14";"Gorzów Wielkopolski";"kamila.kania@example.com";"456-789-012"
85;"Mi³osz";"Urban";"ul. Prosta 192";"P³ock";"milosz.urban@example.com";"567-890-123"
86;"Wiktoria";"Miko³ajczyk";"ul. Ogrodowa 171";"Tarnobrzeg";"wiktoria.mikolajczyk@example.com";"678-901-234"
87;"Oskar";"Sikora";"ul. Polna 163";"Zamoœæ";"oskar.sikora@example.com";"789-012-345"
88;"Amelia";"Baran";"ul. S³onecznikowa 3";"Zielona Góra";"amelia.baran@example.com";"890-123-456"
89;"Amelia";"Marek";"ul. Leœna 242";"Przemyœl";"amelia.marek@example.com";"901-234-567"
90;"Alan";"Lewandowski";"ul. Zielona 121";"Sopot";"alan.lewandowski@example.com";"012-345-678"
91;"Rozalia";"Wróblewska";"ul. D³uga 6";"D¹browa Górnicza";"rozalia.wroblewska@example.com";"123-456-789"
92;"Oliwier";"Duda";"ul. Szewska 15";"Rzeszów";"oliwier.duda@example.com";"234-567-890"
93;"Hanna";"Jaworska";"ul. Lipowa 227";"Radomsko";"hanna.jaworska@example.com";"345-678-901"
94;"Robert";"Paw³owski";"ul. Mickiewicza 23";"Zabrze";"robert.pawlowski@example.com";"456-789-012"
95;"Anna";"Witkowska";"ul. Narutowicza 10";"Wa³cz";"anna.witkowska@example.com";"567-890-123"
96;"Ignacy";"Sikorski";"ul. Kwiatowa 118";"Œwidnica";"ignacy.sikorski@example.com";"678-901-234"
97;"Marcelina";"Szewczyk";"ul. Sk³odowskiej-Curie 7";"Pabianice";"marcelina.szewczyk@example.com";"789-012-345"
98;"Adam";"Górecki";"ul. Zbyszka 13";"Gdañsk";"adam.gorecki@example.com";"890-123-456"
99;"Anita";"Dudek";"ul. Jagodowa 41";"Piekary Œl¹skie";"anita.dudek@example.com";"901-234-567"
100;"Tymoteusz";"Adamczak";"ul. Mi³a 212";"Pi³a";"tymoteusz.adamczak@example.com";"012-345-678"
101;"Jan";"Kowalczyk";"ul. Lipowa 122";"Warszawa";"jan.kowalczyk@example.com";"123-456-789"
102;"Joanna";"Nowak";"ul. Irysowa 8";"Kraków";"joanna.nowak@example.com";"234-567-890"
103;"Marcin";"Wiœniewski";"ul. Leœna 15";"Gdañsk";"marcin.wisniewski@example.com";"345-678-901"
104;"Katarzyna";"Wojciechowska";"ul. Szkolna 3";"Wroc³aw";"katarzyna.wojciechowska@example.com";"456-789-012"
105;"Piotr";"Mazur";"ul. Ogrodowa 21,";"Poznañ";"piotr.mazur@example.com";"567-890-123"
106;"Ma³gorzata";"Krawczyk";"ul. Polna 130";"Katowice";"malgorzata.krawczyk@example.com";"678-901-234"
107;"Krzysztof";"Zaj¹c";"ul. Miodowa 73";"£ódŸ";"krzysztof.zajac@example.com";"789-012-345"
108;"Agnieszka";"Szymañska";"ul. Brzozowa 5";"Szczecin";"agnieszka.szymanska@example.com";"890-123-456"
109;"Andrzej";"WoŸniak";"ul. Rycerska 18";"Lublin";"andrzej.wozniak@example.com";"901-234-567"
110;"Marta";"Lewandowska";"ul. Dêbowa 21";"Bydgoszcz";"marta.lewandowska@example.com";"012-345-678"
111;"Macin";"D¹browski";"ul. Dratewki 14";"Rzeszów";"marcin.dabrowski@example.com";"123-456-789"
112;"Joanna";"Jankowska";"ul. Wiosenna 19";"Grudzi¹dz";"joanna.jankowska@example.com";"234-567-890"
113;"Tomasz";"Adamczyk";"ul. Ogrodnicza 54";"Kielce";"tomasz.adamczyk@example.com";"345-678-901"
114;"Monika";"Sikorska";"ul. Akacjowa 137";"Olsztyn";"monika.sikorska@example.com";"456-789-012"
115;"Pawe³";"Baran";"ul. S³oneczna 231";"Zielona Góra";"pawel.baran@example.com";"567-890-123"
116;"Julia";"Tomczak";"ul. Jasna 141";"Opole";"julia.tomczak@example.com";"678-901-234"
117;"Micha³";"Górska";"ul. Powstañców 6";"Radom";"michal.gorska@example.com";"789-012-345"
118;"Kinga";"Kaczmarek";"ul. D³uga 22";"Toruñ";"kinga.kaczmarek@example.com";"890-123-456"
119;"Artur";"Pawlak";"ul. Zielona 5";"Koszalin";"artur.pawlak@example.com";"901-234-567"
120;"Natalia";"Baranowska";"ul. Sk³odowskiej-Curie 216";"Wa³brzych";"natalia.baranowska@example.com";"012-345-678"
121;"Szymon";"Górka";"ul. Kwiatowa 242";"Nowy S¹cz";"szymon.gorka@example.com";"123-456-789"
122;"Zuzanna";"Szewczyk";"ul. Sportowa 113";"Tarnów";"zuzanna.szewczyk@example.com";"234-567-890"
123;"Filip";"Jasiñski";"ul. Podgórna 220";"Kalisz";"filip.jasinski@example.com";"345-678-901"
124;"Oliwia";"Rutkowska";"ul. Sienkiewicza 32";"Legionowo";"oliwia.rutkowska@example.com";"456-789-012"
125;"Mateusz";"Zawadzki";"ul. Wiejska 37";"Grudzi¹dz";"mateusz.zawadzki@example.com";"567-890-123"
126;"Lena";"Chmielewska";"ul. Mickiewicza 9";"S³upsk";"lena.chmielewska@example.com";"678-901-234"
127;"Igor";"Marek";"ul. Leœna 18";"Jaworzno";"igor.marek@example.com";"789-012-345"
128;"Zofia";"Sikora";"ul. Parkowa 14";"Poznañ";"zofia.sikora@example.com";"890-123-456"
129;"Hubert";"Gajewska";"ul. M³ynarska 21";"Kêdzierzyn-KoŸle";"hubert.gajewska@example.com";"901-234-567"
130;"Gabriela";"Szczepañska";"ul. Ró¿ana 82";"Racibórz";"gabriela.szczepanska@example.com";"012-345-678"
131;"Patryk";"Nowicki";"ul. Szara 24";"Tarnów";"patryk.nowicki@example.com";"123-456-789"
132;"Karolina";"Malinowska";"ul. Jaœminowa 123";"E³k";"karolina.malinowska@example.com";"234-567-890"
133;"Bartosz";"Paw³owski";"ul. Krótka 1";"Ostrów Wielkopolski";"bartosz.pawlowski@example.com";"345-678-901"
134;"Kamila";"Gajewska";"ul. Szkolna 144";"Suwa³ki";"kamila.gajewska@example.com";"456-789-012"
135;"Mi³osz";"Kowal";"ul. Prosta 19";"P³ock";"milosz.kowal@example.com";"567-890-123"
136;"Wiktoria";"Kaczmarek";"ul. Ogrodowa 117";"Tarnobrzeg";"wiktoria.kaczmarek@example.com";"678-901-234"
137;"Oskar";"Lewandowski";"ul. Polna 126";"Zamoœæ";"oskar.lewandowski@example.com";"789-012-345"
138;"Nikola";"Szymañska";"ul. Kwiatowa 2";"Bia³ystok";"nikola.szymanska@example.com";"890-123-456"
139;"Amelia";"Król";"ul. Leœna 224";"Przemyœl";"amelia.krol@example.com";"901-234-567"
140;"Alan";"Kowalski";"ul. Zielona 11";"Be³chatów";"alan.kowalski@example.com";"012-345-678"
141;"Rozalia";"Kaczmarczyk";"ul. D³uga 63";"Lubin";"rozalia.kaczmarczyk@example.com";"123-456-789"
142;"Oliwier";"Jasiñski";"ul. Szewska 135";"Rzeszów";"oliwier.jasinski@example.com";"234-567-890"
143;"Hanna";"Górka";"ul. Lipowa 27";"Radomsko";"hanna.gorka@example.com";"345-678-901"
144;"Robert";"Kaczmarek";"ul. Mickiewicza 22";"Zabrze";"robert.kaczmarek@example.com";"456-789-012"
145;"Zuzanna";"Wojciechowska";"ul. Narutowicza 10";"Wa³cz";"zuzanna.wojciechowska@example.com";"567-890-123"
146;"Ignacy";"Nowak";"ul. Kwiatowa 182";"Œwidnica";"ignacy.nowak@example.com";"678-901-234"
147;"Marcelina";"Jankowska";"ul. Sk³odowskiej-Curie 37";"Pabianice";"marcelina.jankowska@example.com";"789-012-345"
148;"Igor";"Krawczyk";"ul. Rycerska 123";"Be³chatów";"igor.krawczyk@example.com";"890-123-456"
149;"Anita";"Nowakowska";"ul. Jagodowa 24";"Piekary Œl¹skie";"anita.nowakowska@example.com";"901-234-567"
150;"Tymoteusz";"Baranowski";"ul. Mi³a 122";"Pi³a";"tymoteusz.baranowski@example.com";"012-345-678"
