Lp.	Imiê	Nazwisko	Typ pokoju	Przyjazd 	Wyjazd
112	Piotr	Lenic	1	20.07.2025	21.07.2025
113	Marek	Nowacki	1	20.07.2025	21.07.2025
114	Tomasz	RzeŸniczak	2	20.07.2025	21.07.2025
115	Marek	Milewicz	2	20.07.2025	21.07.2025
116	Adrian	Kopeæ	2	20.07.2025	21.07.2025
117	Agnieszka	Zielonka	2	20.07.2025	21.07.2025
118	Jakub	Strama	3	15.07.2025	18.07.2025
119	Pawe³	Wardzynski	2	26.05.2025	28.05.2025
120	Anna	Zaton	4	18.05.2025	21.05.2025
121	Mateusz	Sosek	2	25.07.2025	28.07.2025
122	Mateusz	Rostropnik	2	25.07.2025	28.07.2025
123	Weronika	Paw³owska	2	25.07.2025	28.07.2025
124	£ukasz	Kowski	2	25.07.2025	28.07.2025
125	Micha³	Lemiesz	3	01.05.2025	03.05.2025
126	Mateusz	Gronski	3	08.06.2025	09.06.2025
127	Ewa	Wycisz	1	01.07.2025	03.07.2025
128	Ewa	Piotrek	3	15.07.2025	18.07.2025
129	Karolina	Bober	2	25.07.2025	28.07.2025
130	Weronika	Staroñ	2	25.07.2025	28.07.2025
131	Grzegorz	Wolf	1	01.05.2025	03.05.2025
132	Natalia	Bania	1	01.05.2025	03.05.2025
133	Piotr	Krasek	2	25.07.2025	28.07.2025
134	Marek	S³omka	2	10.06.2025	15.06.2025
135	Weronika	Ry¿ana	2	25.07.2025	28.07.2025
136	Magdalena	Mazowiecka	1	25.07.2025	28.07.2025
137	Tomasz	Lisek	3	02.08.2025	06.08.2025
138	Marcin	Zydel	3	02.08.2025	06.08.2025
139	Pawe³	Szaman	3	02.08.2025	06.08.2025
140	Ewa	Emska	2	10.06.2025	15.06.2025
141	Marcin	Nowak	2	15.07.2025	18.07.2025
142	Katarzyna	Kumor	3	02.08.2025	06.08.2025
143	Maria	Wierciñska	2	02.08.2025	06.08.2025
144	Andrzej	Kusy	2	02.08.2025	06.08.2025
145	Monika	Ko³o	2	10.06.2025	15.06.2025
146	Mateusz	Zych	2	02.08.2025	06.08.2025
147	Krzysztof	Panek	2	01.07.2025	03.07.2025
148	Ewa	Wnuk	2	10.06.2025	15.06.2025
149	Sylwia	Zaleœna	2	02.08.2025	06.08.2025
150	Krzysztof	Jankowski	1	02.08.2025	06.08.2025
151	Mateusz	Kamiñski	1	02.08.2025	06.08.2025
152	Katarzyna	Gerber	1	02.08.2025	06.08.2025
153	Natalia	Gloster	2	10.06.2025	15.06.2025
154	Piotr	Grzybek	2	15.07.2025	18.07.2025
155	Mateusz	Rostropnik	1	02.08.2025	06.08.2025
156	Andrzej	Puzio	2	10.08.2025	12.08.2025
157	Natalia	Bania	2	10.08.2025	12.08.2025
158	Agnieszka	Darmach	2	10.08.2025	12.08.2025
159	Grzegorz	Wolf	2	10.08.2025	12.08.2025
160	Katarzyna	Gerber	1	01.07.2025	03.07.2025
161	Marek	S³omka	2	10.06.2025	15.06.2025
162	Anna	Sulima	2	10.08.2025	12.08.2025
163	Mateusz	Rostropnik	2	10.08.2025	12.08.2025
164	Natalia	Gloster	1	14.08.2025	17.08.2025
165	Magdalena	Mazowiecka	1	14.08.2025	17.08.2025
166	Micha³	Lemiesz	1	14.08.2025	17.08.2025
167	Marek	S³omka	1	14.08.2025	17.08.2025
168	Agnieszka	Darmach	3	14.08.2025	17.08.2025
169	Karolina	Bober	2	15.07.2025	18.07.2025
170	Agnieszka	Inka	1	01.07.2025	03.07.2025
171	Piotr	Wojtera	2	01.06.2025	04.06.2025
172	Marek	S³omka	3	14.08.2025	17.08.2025
173	Magdalena	Mazowiecka	3	14.08.2025	17.08.2025
174	Andrzej	Puzio	3	14.08.2025	17.08.2025
175	Mateusz	Rostropnik	4	14.08.2025	17.08.2025
176	Natalia	Gloster	4	01.06.2025	04.06.2025
177	Tomasz	Lisek	3	01.07.2025	14.07.2025
178	Ewa	Wycisz	4	14.08.2025	17.08.2025
179	Micha³	Lemiesz	2	14.08.2025	17.08.2025
180	Andrzej	Puzio	4	01.06.2025	04.06.2025
181	Magdalena	Mazowiecka	1	01.06.2025	04.06.2025
182	Grzegorz	Wolf	2	14.08.2025	17.08.2025
183	Marcin	Zydel	2	14.08.2025	17.08.2025
184	Mateusz	Kamiñski	2	14.08.2025	17.08.2025
185	Tomasz	Lisek	2	14.08.2025	17.08.2025
186	Agnieszka	Darmach	2	14.08.2025	17.08.2025
187	Aleksandra	Kita	2	14.08.2025	17.08.2025
188	Marcin	Zydel	2	16.08.2025	17.08.2025
189	Pawe³	Szaman	3	20.08.2025	22.08.2025
190	Marek	Krawiec	3	20.08.2025	22.08.2025
191	Natalia	Gloster	3	20.08.2025	22.08.2025
192	Katarzyna	Kumor	1	01.06.2025	04.06.2025
193	Aleksandra	Kita	1	01.06.2025	04.06.2025
194	Katarzyna	Gerber	3	20.08.2025	22.08.2025
195	Natalia	Gloster	1	28.08.2025	29.08.2025
196	Marek	S³omka	1	28.08.2025	29.08.2025
197	Adrian	Ziomek	1	28.08.2025	29.08.2025
198	Marek	Milewicz	2	01.07.2025	14.07.2025
199	Andrzej	Puzio	3	01.06.2025	04.06.2025
200	Natalia	Gloster	3	01.06.2025	04.06.2025
